"id;""pers"";""duty"";""date"";""place"";""type"";""acRegistration"""
"186;""TG42319"";""Pilot Flying"";""2019-05-10"";""BKK"";""Ferry Flight"";""HS-TEN"""
"187;""TG42319"";""Pilot Flying"";""2019-05-10"";""BKK"";""Ferry Flight"";""HS-TEN"""
"188;""TG28368"";""Test Pilot"";""2019-06-08"";""DMK"";""Ground Test"";""HS-TBG"""
"189;""TG39862"";""Test Engineer"";""2019-06-08"";""DMK"";""Ground Test"";""HS-TBG"""
"190;""TG44186"";""Test Engineer"";""2019-06-08"";""DMK"";""Ground Test"";""HS-TBG"""
"191;""TG28368"";""Test Pilot"";""2019-06-09"";""DMK"";""Flight Test"";""HS-TBG"""
"192;""TG39862"";""Test Engineer"";""2019-06-09"";""DMK"";""Flight Test"";""HS-TBG"""
"193;""TG44186"";""Test Engineer"";""2019-06-09"";""DMK"";""Flight Test"";""HS-TBG"""
"194;""TG42319"";""Test Engineer"";""2019-06-09"";""DMK"";""Flight Test"";""HS-TEO"""
"195;""TG28368"";""Pilot Not Flying"";""2019-06-10"";""DMK"";""Ferry Flight"";""HS-TBG"""
"196;""TG28368"";""Pilot Not Flying"";""2019-06-10"";""DMK"";""Ferry Flight"";""HS-TBG"""
"197;""TG39862"";""Pilot Flying"";""2019-06-10"";""DMK"";""Ferry Flight"";""HS-TBG"""
"198;""TG39862"";""Pilot Flying"";""2019-06-10"";""DMK"";""Ferry Flight"";""HS-TBG"""
"199;""TG35309"";""Test Pilot"";""2019-06-24"";""DMK"";""Ground Test"";""HS-TEO"""
"200;""TG42319"";""Test Engineer"";""2019-06-24"";""DMK"";""Ground Test"";""HS-TEO"""
"201;""TG35309"";""Test Pilot"";""2019-06-25"";""DMK"";""Flight Test"";""HS-TEO"""
"202;""TG42319"";""Test Engineer"";""2019-06-25"";""DMK"";""Flight Test"";""HS-TEO"""
"203;""TG35309"";""Pilot Not Flying"";""2019-06-26"";""DMK"";""Ferry Flight"";""HS-TEO"""
"204;""TG42319"";""Pilot Flying"";""2019-06-26"";""DMK"";""Ferry Flight"";""HS-TEO"""
"205;""TG28368"";""Test Pilot"";""2019-06-29"";""DMK"";""Ground Test"";""HS-TEN"""
"206;""TG37252"";""Test Engineer"";""2019-06-29"";""DMK"";""Ground Test"";""HS-TEN"""
"207;""TG42780"";""Test Engineer"";""2019-06-29"";""DMK"";""Ground Test"";""HS-TEN"""
"208;""TG28368"";""Test Pilot"";""2019-06-30"";""DMK"";""Flight Test"";""HS-TEN"""
"209;""TG37252"";""Test Engineer"";""2019-06-30"";""DMK"";""Flight Test"";""HS-TEN"""
"210;""TG42780"";""Test Engineer"";""2019-06-30"";""DMK"";""Flight Test"";""HS-TEN"""
"211;""TG38887"";""Pilot Not Flying"";""2019-07-04"";""DMK"";""Ferry Flight"";""HS-TEN"""
"212;""TG38887"";""Pilot Not Flying"";""2019-07-04"";""DMK"";""Ferry Flight"";""HS-TEN"""
"213;""TG42652"";""Pilot Flying"";""2019-07-04"";""DMK"";""Ferry Flight"";""HS-TEN"""
"214;""TG42652"";""Pilot Flying"";""2019-07-04"";""DMK"";""Ferry Flight"";""HS-TEN"""
"215;""TG38887"";""Pilot Not Flying"";""2019-07-08"";""DMK"";""Ferry Flight"";""HS-TER"""
"216;""TG38887"";""Pilot Not Flying"";""2019-07-08"";""DMK"";""Ferry Flight"";""HS-TER"""
"217;""TG42660"";""Pilot Flying"";""2019-07-08"";""DMK"";""Ferry Flight"";""HS-TER"""
"218;""TG42660"";""Pilot Flying"";""2019-07-08"";""DMK"";""Ferry Flight"";""HS-TER"""
"219;""TG39833"";""Pilot Not Flying"";""2019-07-10"";""BKK"";""Ferry Flight"";""HS-TEP"""
"220;""TG39833"";""Pilot Not Flying"";""2019-07-10"";""BKK"";""Ferry Flight"";""HS-TEP"""
"221;""TG42660"";""Pilot Flying"";""2019-07-10"";""BKK"";""Ferry Flight"";""HS-TEP"""
"222;""TG42660"";""Pilot Flying"";""2019-07-10"";""BKK"";""Ferry Flight"";""HS-TEP"""
"223;""TG28368"";""Pilot Flying"";""2019-08-14"";""BKK"";""Ferry Flight"";""HS-THB"""
"224;""TG28368"";""Pilot Flying"";""2019-08-14"";""BKK"";""Ferry Flight"";""HS-THB"""
"225;""TG42263"";""Pilot Not Flying"";""2019-08-14"";""BKK"";""Ferry Flight"";""HS-THB"""
"226;""TG42263"";""Pilot Not Flying"";""2019-08-14"";""BKK"";""Ferry Flight"";""HS-THB"""
"227;""TG38887"";""Pilot Not Flying"";""2019-08-29"";""DMK"";""Ferry Flight"";""HS-THB"""
"228;""TG38887"";""Pilot Not Flying"";""2019-08-29"";""DMK"";""Ferry Flight"";""HS-THB"""
"229;""TG42652"";""Pilot Flying"";""2019-08-29"";""DMK"";""Ferry Flight"";""HS-THB"""
"230;""TG42652"";""Pilot Flying"";""2019-08-29"";""DMK"";""Ferry Flight"";""HS-THB"""
"231;""TG30938"";""Pilot Not Flying"";""2019-09-04"";""BKK"";""Ferry Flight"";""HS-TES"""
"232;""TG30938"";""Pilot Not Flying"";""2019-09-04"";""BKK"";""Ferry Flight"";""HS-TES"""
"233;""TG42780"";""Pilot Flying"";""2019-09-04"";""BKK"";""Ferry Flight"";""HS-TES"""
"234;""TG42780"";""Pilot Flying"";""2019-09-04"";""BKK"";""Ferry Flight"";""HS-TES"""
"235;""TG28368"";""Pilot Not Flying"";""2019-09-06"";""DMK"";""Ferry Flight"";""HS-TES"""
"236;""TG28368"";""Pilot Not Flying"";""2019-09-06"";""DMK"";""Ferry Flight"";""HS-TES"""
"237;""TG42780"";""Pilot Flying"";""2019-09-06"";""DMK"";""Ferry Flight"";""HS-TES"""
"238;""TG42780"";""Pilot Flying"";""2019-09-06"";""DMK"";""Ferry Flight"";""HS-TES"""
"239;""TG33868"";""Pilot Not Flying"";""2019-09-18"";""BKK"";""Ferry Flight"";""HS-TEQ"""
"240;""TG33868"";""Pilot Not Flying"";""2019-09-18"";""BKK"";""Ferry Flight"";""HS-TEQ"""
"241;""TG42660"";""Pilot Flying"";""2019-09-18"";""BKK"";""Ferry Flight"";""HS-TEQ"""
