,departure_aerodrome_icao_code,arrival_aerodrome_icao_code,aircraft_registration,flight_date,flight_number,landing_time,flight_time,onblock_time,onblock_fuel,block_time,pf,pm,pc1,pc2
423,EDDF,VTBS,HS-TKY,2022-05-24T00:00:00.000Z,THA921,2318,1009,2323,8600.0,1023,41931,37116,41935,
424,VTBS,EDDM,HS-THD,2022-05-23T00:00:00.000Z,THA924,0523,1106,0535,6800.0,1138,44225,37223,44193,
425,VTBS,EGLL,HS-TTC,2022-05-24T00:00:00.000Z,THA910,0630,1212,0638,11100.0,1235,44286,44285,26953,
426,VTBS,LFPG,HS-TWA,2022-05-24T00:00:00.000Z,THA930,0529,1155,0540,6900.0,1232,33637,42600,42653,
427,ESSA,VTBS,HS-THE,2022-05-23T00:00:00.000Z,THA961,2335,1035,2342,7300.0,1054,42256,37215,44356,
428,VTBS,EKCH,HS-TKZ,2022-05-24T00:00:00.000Z,THA950,0605,1124,0617,7800.0,1150,44292,28381,45502,
429,VTBS,VABB,HS-THH,2022-05-25T00:00:00.000Z,THA317,1555,0337,1604,9600.0,0404,36730,43938,42627,
430,VTBS,EDDF,HS-TKY,2022-05-25T00:00:00.000Z,THA926,1705,1128,1713,8400.0,1150,43423,33810,43396,
431,ZGGG,VTBS,HS-THF,2022-05-25T00:00:00.000Z,THA679,1731,0213,1742,5400.0,0235,44221,28368,,
432,VTBS,RKSI,HS-TKN,2022-05-15T00:00:00.000Z,THA654,1111,0440,1120,8200.0,0459,42777,39033,41941,
433,VTBS,EDDF,HS-TKV,2022-05-18T00:00:00.000Z,THA926,,,,,,44199,26954,42777,
434,EDDF,VTSP,HS-TKY,2022-05-25T00:00:00.000Z,THA927,0536,1032,0541,9700.0,1052,39835,43495,43499,
435,VTBS,EDDM,HS-THM,2022-05-25T00:00:00.000Z,THA924,0509,1101,0516,7600.0,1120,42790,27477,44187,
436,VTBS,WSSS,HS-THG,2022-05-26T00:00:00.000Z,THA403,0327,0154,0340,5200.0,0221,43479,39833,,
437,VTBS,YMML,HS-THG,2022-05-21T00:00:00.000Z,THA465,1100,0819,1109,8900.0,0842,_____,44350,,
438,VTBS,ESSA,HS-THD,2022-05-19T00:00:00.000Z,THA960,0626,1159,0637,9300.0,1228,28376,44347,44195,
439,VTBS,OPIS,HS-THK,2022-05-25T00:00:00.000Z,THA349,1633,0423,1641,31600.0,0443,44277,29449,44310,
440,VTBS,RJAA,HS-THL,2022-05-25T00:00:00.000Z,THA642,2304,0533,2317,5500.0,0600,30947,44305,,
441,VTBS,RJAA,HS-THH,2022-05-24T00:00:00.000Z,THA642,2245,0533,2250,5400.0,0554,37252,42780,,
442,VTBS,RJGG,HS-THB,2022-05-25T00:00:00.000Z,THA644,2355,0513,0002,8000.0,0530,44279,28382,,
443,VIDP,VTBS,HS-TJW,2022-05-19T00:00:00.000Z,THA332,0142,0332,0151,7300.0,0357,37789,43502,29435,
444,VTBS,VIDP,HS-TJW,2022-05-19T00:00:00.000Z,THA331,2023,0348,2037,10200.0,0414,43502,37789,29435,
445,VABB,VTBS,HS-THB,2022-05-22T00:00:00.000Z,THA318,2158,0346,2206,5800.0,0410,43479,36154,44238,
446,VTBS,VABB,HS-THB,2022-05-22T00:00:00.000Z,THA317,1555,0343,1601,10200.0,0405,36154,44238,43479,
447,LFPG,VTBS,HS-TWA,2022-05-25T00:00:00.000Z,THA931,2324,1050,2329,7300.0,1117,43125,39689,44159,
448,VABB,VTBS,HS-THH,2022-05-25T00:00:00.000Z,THA318,2203,0351,2209,5900.0,0415,42627,36730,43938,
449,VTBS,VOMM,HS-TQA,2022-05-25T00:00:00.000Z,THA337,1838,0243,1843,7000.0,0304,42596,37224,42594,
450,VTBS,RJAA,HS-TJW,2022-05-25T00:00:00.000Z,THA640,2113,0545,2119,6800.0,0606,43960,36053,,
451,VTBS,RKSI,HS-TKN,2022-05-25T00:00:00.000Z,THA658,2201,0448,2211,6600.0,0512,40181,43951,,
